name,gender,usage,category
Abaddon,,f,mistral
Abatur,,f,mistral
Abdiel,,f,mistral
Achaiah,,f,mistral
Adam,,f,mistral
Adathan,,f,mistral
Adriel,,f,mistral
Advachiel,,f,mistral
Af,,f,mistral
Agiel,,f,mistral
Aker,,f,mistral
Aladiah,,f,mistral
Ambriel,,f,mistral
Ananiel,,f,mistral
Anauel,,f,mistral
Aniel,,f,mistral
Anush,,f,mistral
Arael,,f,mistral
Arakiel,,f,mistral
Arariel,,f,mistral
Ariel,,f,mistral
Armaros,,f,mistral
Armisael,,f,mistral
Arphugitonos,,f,mistral
Artiyail,,f,mistral
Asaliah,,f,mistral
Asbeel,,f,mistral
Asmodel,,f,mistral
Azazel,,f,mistral
Barachiel,,f,mistral
Baraqiel,,f,mistral
Barbiel,,f,mistral
Bardiel,,f,mistral
Beburos,,f,mistral
Bezaliel,,f,mistral
Cahethel,,f,mistral
Caliel,,f,mistral
Cambiel,,f,mistral
Cassiel,,f,mistral
Chamuel,,f,mistral
Chauakiah,,f,mistral
Chazaqiel,,f,mistral
Dadrail,,f,mistral
Damabiah,,f,mistral
Daniel,,f,mistral
Daveithai,,f,mistral
Dobiel,,f,mistral
Dumah,,f,mistral
Eiael,,f,mistral
Eleleth,,f,mistral
Elemiah,,f,mistral
Exael,,f,mistral
Gabriel,,f,mistral
Gabuthelon,,f,mistral
Gadreel,,f,mistral
Gaghiel,,f,mistral
Gamaliel,,f,mistral
Garshanel,,f,mistral
Gubran,,f,mistral
Haaiah,,f,mistral
Haamiah,,f,mistral
Habuhiah,,f,mistral
Hadraniel,,f,mistral
Hahahel,,f,mistral
Hahaiah,,f,mistral
Hahasiah,,f,mistral
Hahuiah,,f,mistral
Haiaiel,,f,mistral
Hakamiah,,f,mistral
Hamaliel,,f,mistral
Hanibal,,f,mistral
Haniel,,f,mistral
Harahel,,f,mistral
Hariel,,f,mistral
Harmozel,,f,mistral
Harut,,f,mistral
Haziel,,f,mistral
Hofniel,,f,mistral
Hutriel,,f,mistral
Iabamiah,,f,mistral
Iahhel,,f,mistral
Iehahel,,f,mistral
Iehuiah,,f,mistral
Ieiaiel,,f,mistral
Ieiazel,,f,mistral
Ielahiah,,f,mistral
Ieliel,,f,mistral
Ierathel,,f,mistral
Iezalel,,f,mistral
Imamiah,,f,mistral
Ireul,,f,mistral
Israfel,,f,mistral
Israfil,,f,mistral
Jegudiel,,f,mistral
Jehoel,,f,mistral
Jequn,,f,mistral
Jerahmeel,,f,mistral
Jophiel,,f,mistral
Kadkadael,,f,mistral
Kalkail,,f,mistral
Kasbeel,,f,mistral
Kepharel,,f,mistral
Kerubiel,,f,mistral
Kokabiel,,f,mistral
Kolazonta,,f,mistral
Kundaliel,,f,mistral
Kushiel,,f,mistral
Lailah,,f,mistral
Laviah,,f,mistral
Lecabel,,f,mistral
Lehahiah,,f,mistral
Leliel,,f,mistral
Levuiah,,f,mistral
Lilin,,f,mistral
Lilith,,f,mistral
Loviah,,f,mistral
Machidiel,,f,mistral
Macroprosopus,,f,mistral
Mahasiah,,f,mistral
Malakbel,,f,mistral
Malik,,f,mistral
Manadel,,f,mistral
Manakel,,f,mistral
Marfeil,,f,mistral
Marut,,f,mistral
Mastema,,f,mistral
Matarael,,f,mistral
Matriel,,f,mistral
Mebahel,,f,mistral
Mebahiah,,f,mistral
Mehiel,,f,mistral
Melahel,,f,mistral
Metatron,,f,mistral
Michael,,f,mistral
Mihael,,f,mistral
Mikael,,f,mistral
Mitzrael,,f,mistral
Mizrael,,f,mistral
Moroni,,f,mistral
Mumiah,,f,mistral
Munkar,,f,mistral
Muriel,,f,mistral
Nakir,,f,mistral
Nanael,,f,mistral
Nbat,,f,mistral
Nelchael,,f,mistral
Nemamiah,,f,mistral
Netzach,,f,mistral
Nidbai,,f,mistral
Nithael,,f,mistral
Nithhaiah,,f,mistral
Nsab,,f,mistral
Nuriel,,f,mistral
Omael,,f,mistral
Ophaniel,,f,mistral
Oroiael,,f,mistral
Pahaliah,,f,mistral
Penemue,,f,mistral
Phanuel,,f,mistral
Poiel,,f,mistral
Poteh,,f,mistral
Pravuil,,f,mistral
Ptahil,,f,mistral
Puriel,,f,mistral
Radueriel,,f,mistral
Raguel,,f,mistral
Ramiel,,f,mistral
Raphael,,f,mistral
Raziel,,f,mistral
Rehael,,f,mistral
Reiaiel,,f,mistral
Rikbiel,,f,mistral
Rochel,,f,mistral
Sabriel,,f,mistral
Sachiel,,f,mistral
Sahaquiel,,f,mistral
Samael,,f,mistral
Samyaza,,f,mistral
Sandalphon,,f,mistral
Sarathiel,,f,mistral
Sariel,,f,mistral
Sathariel,,f,mistral
Saureil,,f,mistral
Sealiah,,f,mistral
Seehiah,,f,mistral
Selaphiel,,f,mistral
Seraphiel,,f,mistral
Shamnail,,f,mistral
Shamshel,,f,mistral
Shamsiel,,f,mistral
Sheetil,,f,mistral
Shihlun,,f,mistral
Shilmai,,f,mistral
Sitael,,f,mistral
Tabris,,f,mistral
Tamiel,,f,mistral
Tarwan,,f,mistral
Temeluchus,,f,mistral
Turail,,f,mistral
Turiel,,f,mistral
Umabel,,f,mistral
Urfeil,,f,mistral
Uriel,,f,mistral
Uziel,,f,mistral
Vasariah,,f,mistral
Vasiariah,,f,mistral
Vehuel,,f,mistral
Vehuiah,,f,mistral
Verchiel,,f,mistral
Veualiah,,f,mistral
Yadathan,,f,mistral
Yarhibol,,f,mistral
Yomiel,,f,mistral
Yukabar,,f,mistral
