id,paintjobFamilies,weaponIds,spriteMap
mistral_raven_kaihead_purp,DRA,diableavionics_mistral_raven_kaihead,"graphics/ships/raven_kai/diableavionics_mistral_raven_kaihead.png -> graphics/ships/raven_kai/purp/diableavionics_ravenhead.png, graphics/ships/raven_kai/diableavionics_mistral_raven_kaihead_glow.png -> graphics/ships/raven_kai/purp/diableavionics_ravenhead_glow.png"
mistral_raven_kaileft_purp,DRA,diableavionics_mistral_raven_kaileft,"graphics/ships/raven_kai/diableavionics_mistral_raven_kaileftarm.png -> graphics/ships/raven_kai/purp/diableavionics_ravenleftarm.png, graphics/ships/raven_kai/diableavionics_mistral_raven_kaileftbarrel.png -> graphics/ships/raven_kai/purp/diableavionics_ravenleftbarrel.png"
mistral_raven_kairight_purp,DRA,diableavionics_mistral_raven_kairight,"graphics/ships/raven_kai/diableavionics_mistral_raven_kairightarm.png -> graphics/ships/raven_kai/purp/diableavionics_ravenrightarm.png, graphics/ships/raven_kai/diableavionics_mistral_raven_kairightbarrel.png -> graphics/ships/raven_kai/purp/diableavionics_ravenrightbarrel.png"
mistral_raindrop_center_purp,DRA,mistral_raindrop_center,"graphics/ships/decos/mistral_raindrop_center.png -> graphics/ships/decos/mistral_raindrop_center_purp.png"
mistral_nightingaleLeftArm_purp,DRA,mistral_nightingaleLeftArm,"graphics/ships/nightingale/mistral_nightingaleLeftArm.png -> graphics/ships/nightingale/mistral_nightingaleLeftArm_purp.png"
mistral_nightingaleRightArm_purp,DRA,mistral_nightingaleRightArm,"graphics/ships/nightingale/mistral_nightingaleRightArm.png -> graphics/ships/nightingale/mistral_nightingaleRightArm_purp.png"
mistral_nightingale_shoulderL_purp,DRA,mistral_nightingale_shoulderL,"graphics/ships/nightingale/mistral_nightingale_shoulderL.png -> graphics/ships/nightingale/mistral_nightingale_shoulderL_purp.png"
mistral_nightingale_shoulderR_purp,DRA,mistral_nightingale_shoulderR,"graphics/ships/nightingale/mistral_nightingale_shoulderR.png -> graphics/ships/nightingale/mistral_nightingale_shoulderR_purp.png"
mistral_nightingaleHead_purp,DRA,mistral_nightingaleHead,"graphics/ships/nightingale/mistral_nightingalehead.png -> graphics/ships/nightingale/mistral_nightingalehead_purp.png"
mistral_sparrowLeftArm_purp,DRA,mistral_sparrowLeftArm,"graphics/ships/sparrow/mistral_sparrowLeftArm.png -> graphics/ships/sparrow/mistral_sparrowLeftArm_purp.png"
mistral_sparrowRightArm_purp,DRA,mistral_sparrowRightArm,"graphics/ships/sparrow/mistral_sparrowRightArm.png -> graphics/ships/sparrow/mistral_sparrowRightArm_purp.png"
mistral_sparrow_shoulderL_purp,DRA,mistral_sparrow_shoulderL,"graphics/ships/sparrow/mistral_sparrow_shoulderL.png -> graphics/ships/sparrow/mistral_sparrow_shoulderL_purp.png"
mistral_sparrow_shoulderR_purp,DRA,mistral_sparrow_shoulderR,"graphics/ships/sparrow/mistral_sparrow_shoulderR.png -> graphics/ships/sparrow/mistral_sparrow_shoulderR_purp.png"
mistral_hummingbirdLeftArm_purp,DRA,mistral_hummingbirdLeftArm,"graphics/ships/hummingbird/mistral_hummingbirdLeftArm.png -> graphics/ships/hummingbird/mistral_hummingbirdLeftArm_purp.png"
mistral_hummingbirdRightArm_purp,DRA,mistral_hummingbirdRightArm,"graphics/ships/hummingbird/mistral_hummingbirdRightArm.png -> graphics/ships/hummingbird/mistral_hummingbirdRightArm_purp.png"
mistral_hummingbird_shoulderL_purp,DRA,mistral_hummingbird_shoulderL,"graphics/ships/hummingbird/mistral_hummingbird_shoulderL.png -> graphics/ships/hummingbird/mistral_hummingbird_shoulderL_purp.png"
mistral_hummingbird_shoulderR_purp,DRA,mistral_hummingbird_shoulderR,"graphics/ships/hummingbird/mistral_hummingbird_shoulderR.png -> graphics/ships/hummingbird/mistral_hummingbird_shoulderR_purp.png"
mistral_zimmerman_purp,DRA,diableavionics_mistral_infernal_star,"graphics/weapons/mistral_zimmerman_turret_base.png -> graphics/weapons/mistral_zimmerman_turret_base_purp.png, graphics/weapons/mistral_zimmerman_turret_recoil.png -> graphics/weapons/mistral_zimmerman_turret_recoil_purp.png, graphics/weapons/mistral_zimmerman_hardpoint_base.png -> graphics/weapons/mistral_zimmerman_hardpoint_base_purp.png, graphics/weapons/mistral_zimmerman_hardpoint_recoil.png -> graphics/weapons/mistral_zimmerman_hardpoint_recoil_purp.png"
mistral_foura_purp,DRA,diableavionics_mistral_foura,"graphics/weapons/mistral_foura_turret_base.png -> graphics/weapons/mistral_foura_turret_base_purp.png, graphics/weapons/mistral_foura_hardpoint_base.png -> graphics/weapons/mistral_foura_hardpoint_base_purp.png"
mistral_small_dummy_launcher_purp,DRA,mistral_small_dummy_launcher,"graphics/da/weapons/diableavionics_micromissile_turret.png -> graphics/DRA/weapons/diableavionics_micromissile_turret.png, graphics/da/weapons/diableavionics_micromissile_hardpoint.png -> graphics/DRA/weapons/diableavionics_micromissile_hardpoint.png"
mistral_raindrop_center_traitor,stripeless,mistral_raindrop_center,"graphics/ships/decos/mistral_raindrop_center_purp.png -> graphics/ships/decos/mistral_raindrop_center.png"
mistral_nightingale_shoulderL_traitor,stripeless,mistral_nightingale_shoulderL,"graphics/ships/nightingale/mistral_nightingale_shoulderL_purp.png -> graphics/ships/nightingale/mistral_nightingale_shoulderL.png"
mistral_nightingale_shoulderR_traitor,stripeless,mistral_nightingale_shoulderR,"graphics/ships/nightingale/mistral_nightingale_shoulderR_purp.png -> graphics/ships/nightingale/mistral_nightingale_shoulderR.png"
mistral_sparrow_shoulderL_traitor,stripeless,mistral_sparrow_shoulderL,"graphics/ships/sparrow/mistral_sparrow_shoulderL_purp.png -> graphics/ships/sparrow/mistral_sparrow_shoulderL.png"
